id,first_name,last_name,phone,email,birth_date,status,created_at
a18228f4-5553-4b61-b048-e2f98119e1f5,Custom,Time,+79995144183,custom265449991@test.com,,ACTIVE,2026-06-19T20:10:59.496321+03:00
cd6a2636-870d-4f47-8743-04a4b4190849,Night,Client,+79998958078,night8996@test.com,,ACTIVE,2026-06-19T19:51:01.071283+03:00
daf14b4a-00ea-4e21-86e4-c8fa779f6af3,Night,Client,+79993746088,night539259053@test.com,,ACTIVE,2026-06-19T19:40:21.433921+03:00
257cbb65-cd2c-4a28-96c4-777607e940e9,Day,Client,+79997818759,day474628304@test.com,,ACTIVE,2026-06-19T19:39:13.400625+03:00
473d5de8-3f46-4c95-9950-dd0c49c9a8d3,Limit,Test,+79995954206,limit1008485033@test.com,,ACTIVE,2026-06-19T19:16:10.367170+03:00
b4b6d8cc-8b8d-4d16-a641-c4449f667792,Limit,Test,+79991941402,limit1166419993@test.com,,ACTIVE,2026-06-19T19:12:33.106373+03:00
ed9aac03-1203-47ec-acb3-691962387019,Limit,Exceeded,+79998242866,limit1078998958@test.com,,ACTIVE,2026-06-19T19:05:59.068905+03:00
6eccbcf6-f23f-459d-9403-3e3133bc4add,NoSub,Client,+79991892652,nosub1579353756@test.com,,ACTIVE,2026-06-19T19:05:54.804860+03:00
966e13cd-e38b-4641-804e-f69942ccd7dc,Тест,Карта,+79991234544,card_test@example.com,,ACTIVE,2026-06-18T23:49:56.456927+03:00
0370fe10-8a95-4430-914f-20950e29af0c,Без Абонемента,Клиент,+79991234555,no_sub@example.com,,ACTIVE,2026-06-18T23:14:55.566839+03:00
3236a807-9688-4371-b48f-ed152185af6f,Иван Обновлённый,Иванов Обновлённый,+79991234599,client99@example.com,1990-01-01,INACTIVE,2026-06-18T22:14:04.638524+03:00
33253d11-d5d0-4fca-9b80-e0b85367f43f,Test,Client,+79999999998,test_new_77361548@example.com,,ACTIVE,2026-06-16T01:32:49.950227+03:00
3db63626-f463-4984-a5cb-77f274a71164,Иван,Сидоров,+79991234567,test@example.com,,INACTIVE,2026-06-15T00:38:52.380649+03:00
e5244d72-8f56-46c6-bbac-825c5eae5a1a,Client9984,Test9984,+790000009984,client9984@test.com,,ACTIVE,2026-06-14T21:55:21.280056+03:00
67fd78fa-0c6e-4279-92ed-902bee458474,Client9882,Test9882,+790000009882,client9882@test.com,,ACTIVE,2026-06-14T21:55:21.280056+03:00
2cb61145-9a5c-49dc-af7a-2a4076d465ed,Client9985,Test9985,+790000009985,client9985@test.com,,ACTIVE,2026-06-14T21:55:21.280056+03:00
